AgentName,IdentityType,AppId,ObjectId,Upn,Description
Agentic-SOC - Privileged Access Reviewer,AgentIdentity,,10ccf65d-44e2-474d-8a64-9f08e9db4b25,,Entra agent identity (Active)
FondryTest0626-Newproj-test-testopenAI,AgentIdentity,,43e040a2-bf16-4283-a49a-7d54c1c24073,,Entra agent identity (Active) - name truncated in portal
Agentic-SOC - OAuth App Reviewer,AgentIdentity,,4a959943-199e-4c01-b71f-fc5670199661,,Entra agent identity (Active)
FondryTest0626-Newproj-test-AgentIdent,AgentIdentity,,6beb2c5e-a32b-4e08-84be-4699f7fc3007,,Entra agent identity (Active) - name truncated in portal
Agentic-SOC - MFA Fatigue Detector,AgentIdentity,,79fe6cb1-9384-4074-aca9-68ca259fd692,,Entra agent identity (Active)
Agentic-SOC - Sign-in Anomaly Hunter,AgentIdentity,,7c1f4991-23fb-4747-8e8d-f338bee9b2eb,,Entra agent identity (Active)
FoundryTest45-proj-default-deepseekest,AgentIdentity,,7e9f4ab9-7a7a-41b3-8677-5b9614d9468d,,Entra agent identity (Active) - name truncated in portal
Agentic-SOC - Vulnerability Prioritizer,AgentIdentity,,80c0c802-273a-4b07-b653-ce9cd1406475,,Entra agent identity (Active)
Agentic-SOC - Incident Narrator,AgentIdentity,,82edde8d-f578-4876-be6a-228ac51d60b9,,Entra agent identity (Active)
FoundryTest45-proj-default-agenttest-Ag,AgentIdentity,,a106d240-b056-424c-8303-10a9aa9295b4,,Entra agent identity (Active) - name truncated in portal
Agentic-SOC - Threat Intel Enricher,AgentIdentity,,b67e72df-5137-46d6-aa38-d144a2086e23,,Entra agent identity (Active)
Agentic-SOC - Phishing Triage,AgentIdentity,,bcc54073-0a67-4fc0-863f-56bf74a8abe8,,Entra agent identity (Active)
Agentic-SOC - DLP Incident Triage,AgentIdentity,,cf2bfc34-2c81-4d98-89ae-454defc36619,,Entra agent identity (Active)
FoundryTest45-proj-default-GPTNanoTest,AgentIdentity,,ec0adf90-c7b0-4567-bbac-dfb9dc52e4ce,,Entra agent identity (Active) - name truncated in portal
FondryTest0626/projects/Newproj-test,AgentIdentity,,eed4b4ee-b82f-4f52-86cf-fbc11b577498,,Entra agent identity (Active)
Agentic-SOC - Insider Risk Summarizer,AgentIdentity,,faa45a8a-0122-4a14-b10d-3b6a9b7882f4,,Entra agent identity (Active)
